ID	name	nickname	desc	takeNo	x	y	z	rx	ry	rz	fov	isPhysical	focalLen	sensorSize	motionShotTime	motionShotMode	motionShotTimeInterval	motionShotFbxPath
1	1	正面4人并排全身		-1	0	1.218	9.117	358.899	180	0	33.398	false						
2	2	正面4人并排半身		-1	0	1.023	9.0174	0	180	0	18	false						
3	3	ywys特写四人		-1	-1.52	1.318167	4.897498	0	180	0	12.6	false						
6	6	hanser特写四人		-1	1.495	1.223167	4.797498	0	180	0	12.6	false						
7	7	观众运镜		-1	0	5.228	-9.357503	2.60	0	0	33	false						
8	8	roza,mc		-1	-0.0477	1.064444	8.643412	0	180	0	20	false						
9	9	小可, zuya, mc		-1	0	1.06060	8.60424	0	180	0	20	false						
10	10	七海,mc		-1	0	0.9206038	7.064242	0	180	0	20	false						
11	11	三无，露露那，mc		-1	0	1.122811	8.820481	0	180	0	20	false						
12	12	舞台大全		-1	0	13.103	48.872	12.569	180	0	31.6	false						
13	13	aza特写		-1	0.525	1.213	4.597	356.5	180	0	12.6	false						
14	14	roi特写		-1	-0.465	1.483	4.687	359.5	180	0	12.6	false						
15	15	roza双人特写		-1	0	1.273	8.1474	358.7299	180	0	11.5	false						
16	16	小可特写		-1	0	1.188	4.79749	0	180	0	12.6	false						
17	17	ruruna特写		-1	0	1.373	4.687	359.6	180	0	12.6	false						
18	18	hanser特写 mc		-1	0.53	1.093	4.022	358.6	180	0	15.7	false						
19	19	hanser特写3人		-1	0.85	1.116	3.669	358.2	180	0	15	false						
20	20	ywys特写3人		-1	-1.035	1.166	3.669	358.2	180	0	15	false						
21	21	ywys特写mc		-1	-0.44	1.143	4.022	358.6	180	0	15.7	false						
22	22	mc 双人特写		-1	0	0.918	5.937	356.7	180	0	15.7	false						
23	23	七海特写		-1	0	1.176	3.669	358.2	180	0	15	false						
24	24	（七海，双MC，全景）		-1	0	0.301	7.229	354.2	180	0	21.28	false						
25	25	真绯瑠特写		-1	0	1.148	5.007	359	180	0	10	false						
26	26	中近景全身		-1	0	0.035	8.67	353.9395	180	0	15	false						
27	27	中景互动用		-1	0	1.006	14.15	358.74	180	0	15	false						
28	28	近景半身及腰		-1	0	1.53	3.777	0	180	0	15	false						
29	29	超近景半身及肩		-1	0	1.7165	3.5	0	180	0	7	false						
30	30	下位脚部特写		-1	0	0.94228	3.607	10	180	0	15	false						
