ID	clps	attack	cast	behit	defend
FYN-DBSWORDS	21-970200BA	21-DA2F70D2	21-4E2FA831	21-87D6DB09	21-E5FEE391
FYN-RING	21-6D81CA3B	21-8D07C630	21-00E5E050	21-5CE4D624	21-1A35AEDA
GJL-CLAW	21-3C887DDF	21-1DC5C317	21-3E51C7DA	21-91E9EB7B	21-DB75ABC8
GJL-WAND	21-60FAD7D4	21-68DBA74A	21-BF13CC2B	21-C00F60E5	21-E73EBCC8
HMR-CLAW	21-218D2A2C	21-BA882151	21-3E7DA76E	21-EF60B8F2	21-B4C9A8E0
HMR-WHIP	21-0D47CD0F	21-5F4CAE8D	21-2FE29187	21-8FB12C3F	21-5856D5AC
HTG-AXE	21-AFC70B91	21-4AA34783	21-8D88CDAC	21-7C6CC4E7	21-0B26B4AF
HTG-HAMMER	21-E15F9806	21-841369B5	21-F2C5A3CD	21-ACD043F0	21-A8ADC9AC
JMW-AXE	21-9DAF226A	21-025FCC8B	21-FE8594E2	21-5476654C	21-B73D1C5B
JMW-KNIFE	21-8A7637EE	21-28642ACE	21-55389EED	21-369FA868	21-DFB7A019
JXK-KNIFE	21-4F1D43F8	21-CF316A22	21-131B52D5	21-AC067310	21-8D30EA0D
JXK-SWORD	21-616EF73A	21-CDBC5B50	21-7551424F	21-837A7CC6	21-07E26E1D
LTZ-FAN	21-F904345D	21-00085193	21-DF2D05C9	21-ED605E67	21-DCB60BED
LTZ-SPEAR	21-928CE1E1	21-0BAC8762	21-B31C5987	21-CB139041	21-6C9F6213
STB-HAMMER	21-271F03E8	21-27486A5C	21-B4005117	21-2E7C9873	21-05DE025C
STB-SPEAR	21-DB274D75	21-81B89F88	21-D0566D8B	21-B55DC704	21-FC9BB005
WTJ-RIBBON	21-0C3694B7	21-2FF674EE	21-B865C712	21-4CCAEE4D	21-F836A9DB
WTJ-RING	21-EA8D6634	21-3D9E3182	21-F4DE8179	21-EDEEF46B	21-8F939D62
XCE-RIBBON	21-9079243B	21-E6072A32	21-893F0FB4	21-837941C0	21-84D6DE9E
XCE-WAND	21-33E6539A	21-C4FD75A8	21-6AD3D5D3	21-249F1445	21-FC029511
XYS-FAN	21-1EEF0B4D	21-74FA3644	21-78014430	21-9DE15357	21-F0EF43B4
XYS-SWORD	21-59A0AD28	21-F002353C	21-DF489E5A	21-265EB335	21-EE54EDC2
YNX-DBSWORDS	21-0CD69AD2	21-02FFD52D	21-211B507F	21-5E6558A2	21-9A06B5F8
YNX-WHIP	21-F0CCA522	21-9160A22F	21-A32E53D5	21-5EF57E46	21-37075738
